Description,Date,Location,Value
Total deaths of confirmed,2014-08-27,Pita,
Total deaths (confirmed + probables + suspects),2014-08-27,Pita,
Fatality rate for confirmed and probables,2014-08-27,Pita,
New cases of confirmed among health workers,2014-08-27,Pita,
Total case of confirmed among health workers,2014-08-27,Pita,
New deaths registered among health workers,2014-08-27,Pita,
Total deaths registered among health workers,2014-08-27,Pita,
New admits to CTE so far,2014-08-27,Pita,
Total number of hospitalized cases in CTE,2014-08-27,Pita,
Total number of exits from CTE,2014-08-27,Pita,
Total number of admissions to CTE,2014-08-27,Pita,
New contacts registered so far,2014-08-27,Pita,
Total contacts registered from start date,2014-08-27,Pita,
Number of contacts to follow today,2014-08-27,Pita,
Number of contacts followed today,2014-08-27,Pita,
Number of contacts out of the track 21 days,2014-08-27,Pita,
Number of contacts lost to follow up,2014-08-27,Pita,
Number of samples collected today,2014-08-27,Pita,
Number of samples under test,2014-08-27,Pita,
Total samples tested,2014-08-27,Pita,
New cases of suspects,2014-08-27,Siguiri,0
New cases of probables,2014-08-27,Siguiri,0
New cases of confirmed,2014-08-27,Siguiri,0
Total new cases registered so far,2014-08-27,Siguiri,0
Total cases of suspects,2014-08-27,Siguiri,0
Total cases of probables,2014-08-27,Siguiri,
Total cases of confirmed,2014-08-27,Siguiri,
Cumulative (confirmed + probable + suspects),2014-08-27,Siguiri,
Total suspected non-class cases,2014-08-27,Siguiri,
New deaths registered,2014-08-27,Siguiri,
Total deaths of suspects,2014-08-27,Siguiri,
Total deaths of probables,2014-08-27,Siguiri,
Total deaths of confirmed,2014-08-27,Siguiri,
Total deaths (confirmed + probables + suspects),2014-08-27,Siguiri,
Fatality rate for confirmed and probables,2014-08-27,Siguiri,
New cases of confirmed among health workers,2014-08-27,Siguiri,
Total case of confirmed among health workers,2014-08-27,Siguiri,
New deaths registered among health workers,2014-08-27,Siguiri,
Total deaths registered among health workers,2014-08-27,Siguiri,
New admits to CTE so far,2014-08-27,Siguiri,
Total number of hospitalized cases in CTE,2014-08-27,Siguiri,
Total number of exits from CTE,2014-08-27,Siguiri,
Total number of admissions to CTE,2014-08-27,Siguiri,
New contacts registered so far,2014-08-27,Siguiri,
Total contacts registered from start date,2014-08-27,Siguiri,
Number of contacts to follow today,2014-08-27,Siguiri,
Number of contacts followed today,2014-08-27,Siguiri,
Number of contacts out of the track 21 days,2014-08-27,Siguiri,
Number of contacts lost to follow up,2014-08-27,Siguiri,
Number of samples collected today,2014-08-27,Siguiri,
Number of samples under test,2014-08-27,Siguiri,
Total samples tested,2014-08-27,Siguiri,
New cases of suspects,2014-08-27,Telimele,0
New cases of probables,2014-08-27,Telimele,0
New cases of confirmed,2014-08-27,Telimele,0
Total new cases registered so far,2014-08-27,Telimele,0
Total cases of suspects,2014-08-27,Telimele,0
Total cases of probables,2014-08-27,Telimele,3
Total cases of confirmed,2014-08-27,Telimele,23
Cumulative (confirmed + probable + suspects),2014-08-27,Telimele,26
Total suspected non-class cases,2014-08-27,Telimele,18
New deaths registered,2014-08-27,Telimele,0
Total deaths of suspects,2014-08-27,Telimele,0
Total deaths of probables,2014-08-27,Telimele,3
Total deaths of confirmed,2014-08-27,Telimele,7
Total deaths (confirmed + probables + suspects),2014-08-27,Telimele,10
Fatality rate for confirmed and probables,2014-08-27,Telimele,38%
New cases of confirmed among health workers,2014-08-27,Telimele,0
Total case of confirmed among health workers,2014-08-27,Telimele,2
New deaths registered among health workers,2014-08-27,Telimele,0
Total deaths registered among health workers,2014-08-27,Telimele,1
New admits to CTE so far,2014-08-27,Telimele,0
Total number of hospitalized cases in CTE,2014-08-27,Telimele,0
Total number of exits from CTE,2014-08-27,Telimele,0
Total number of admissions to CTE,2014-08-27,Telimele,41
New contacts registered so far,2014-08-27,Telimele,0
Total contacts registered from start date,2014-08-27,Telimele,259
Number of contacts to follow today,2014-08-27,Telimele,0
Number of contacts followed today,2014-08-27,Telimele,0
Number of contacts out of the track 21 days,2014-08-27,Telimele,259
Number of contacts lost to follow up,2014-08-27,Telimele,0
Number of samples collected today,2014-08-27,Telimele,
Number of samples under test,2014-08-27,Telimele,
Total samples tested,2014-08-27,Telimele,
New cases of suspects,2014-08-27,Totals,12
New cases of probables,2014-08-27,Totals,0
New cases of confirmed,2014-08-27,Totals,10
Total new cases registered so far,2014-08-27,Totals,22
Total cases of suspects,2014-08-27,Totals,22
Total cases of probables,2014-08-27,Totals,142
Total cases of confirmed,2014-08-27,Totals,499
Cumulative (confirmed + probable + suspects),2014-08-27,Totals,663
Total suspected non-class cases,2014-08-27,Totals,518
New deaths registered,2014-08-27,Totals,2
Total deaths of suspects,2014-08-27,Totals,2
Total deaths of probables,2014-08-27,Totals,142
Total deaths of confirmed,2014-08-27,Totals,294
Total deaths (confirmed + probables + suspects),2014-08-27,Totals,438
Fatality rate for confirmed and probables,2014-08-27,Totals,66%
New cases of confirmed among health workers,2014-08-27,Totals,0
Total case of confirmed among health workers,2014-08-27,Totals,45
New deaths registered among health workers,2014-08-27,Totals,0
Total deaths registered among health workers,2014-08-27,Totals,26
New admits to CTE so far,2014-08-27,Totals,12
Total number of hospitalized cases in CTE,2014-08-27,Totals,80
Total number of exits from CTE,2014-08-27,Totals,14
Total number of admissions to CTE,2014-08-27,Totals,999
New contacts registered so far,2014-08-27,Totals,127
Total contacts registered from start date,2014-08-27,Totals,7662
Number of contacts to follow today,2014-08-27,Totals,1264
Number of contacts followed today,2014-08-27,Totals,1250
Number of contacts out of the track 21 days,2014-08-27,Totals,6496
Number of contacts lost to follow up,2014-08-27,Totals,14
Number of samples collected today,2014-08-27,Totals,58
Number of samples under test,2014-08-27,Totals,0
Total samples tested,2014-08-27,Totals,1719
New cases of suspects,2014-08-27,Yomou,1
New cases of probables,2014-08-27,Yomou,0
New cases of confirmed,2014-08-27,Yomou,0
Total new cases registered so far,2014-08-27,Yomou,1
Total cases of suspects,2014-08-27,Yomou,1
Total cases of probables,2014-08-27,Yomou,
Total cases of confirmed,2014-08-27,Yomou,
Cumulative (confirmed + probable + suspects),2014-08-27,Yomou,
Total suspected non-class cases,2014-08-27,Yomou,
New deaths registered,2014-08-27,Yomou,
Total deaths of suspects,2014-08-27,Yomou,
Total deaths of probables,2014-08-27,Yomou,
Total deaths of confirmed,2014-08-27,Yomou,
Total deaths (confirmed + probables + suspects),2014-08-27,Yomou,
Fatality rate for confirmed and probables,2014-08-27,Yomou,
New cases of confirmed among health workers,2014-08-27,Yomou,
Total case of confirmed among health workers,2014-08-27,Yomou,
New deaths registered among health workers,2014-08-27,Yomou,
Total deaths registered among health workers,2014-08-27,Yomou,
New admits to CTE so far,2014-08-27,Yomou,
Total number of hospitalized cases in CTE,2014-08-27,Yomou,
Total number of exits from CTE,2014-08-27,Yomou,
Total number of admissions to CTE,2014-08-27,Yomou,
New contacts registered so far,2014-08-27,Yomou,
Total contacts registered from start date,2014-08-27,Yomou,
Number of contacts to follow today,2014-08-27,Yomou,
Number of contacts followed today,2014-08-27,Yomou,
Number of contacts out of the track 21 days,2014-08-27,Yomou,
Number of contacts lost to follow up,2014-08-27,Yomou,
Number of samples collected today,2014-08-27,Yomou,
Number of samples under test,2014-08-27,Yomou,
Total samples tested,2014-08-27,Yomou,
New cases of suspects,2014-08-30,Beyla,
New cases of probables,2014-08-30,Beyla,
New cases of confirmed,2014-08-30,Beyla,
Total new cases registered so far,2014-08-30,Beyla,
Total cases of suspects,2014-08-30,Beyla,
Total cases of probables,2014-08-30,Beyla,
Total cases of confirmed,2014-08-30,Beyla,
Cumulative (confirmed + probable + suspects),2014-08-30,Beyla,
Total suspected non-class cases,2014-08-30,Beyla,
New deaths registered,2014-08-30,Beyla,
Total deaths of suspects,2014-08-30,Beyla,
Total deaths of probables,2014-08-30,Beyla,
Total deaths of confirmed,2014-08-30,Beyla,
Total deaths (confirmed + probables + suspects),2014-08-30,Beyla,
Fatality rate for confirmed and probables,2014-08-30,Beyla,
New cases of confirmed among health workers,2014-08-30,Beyla,
Total case of confirmed among health workers,2014-08-30,Beyla,
New deaths registered among health workers,2014-08-30,Beyla,
Total deaths registered among health workers,2014-08-30,Beyla,
New admits to CTE so far,2014-08-30,Beyla,
Total number of hospitalized cases in CTE,2014-08-30,Beyla,
Total number of exits from CTE,2014-08-30,Beyla,
Total number of admissions to CTE,2014-08-30,Beyla,
New contacts registered so far,2014-08-30,Beyla,
Total contacts registered from start date,2014-08-30,Beyla,
Number of contacts to follow today,2014-08-30,Beyla,
Number of contacts followed today,2014-08-30,Beyla,
Number of contacts out of the track 21 days,2014-08-30,Beyla,
Number of contacts lost to follow up,2014-08-30,Beyla,
Number of samples collected today,2014-08-30,Beyla,
Number of samples under test,2014-08-30,Beyla,
Total samples tested,2014-08-30,Beyla,
New cases of suspects,2014-08-30,Boffa,
New cases of probables,2014-08-30,Boffa,
New cases of confirmed,2014-08-30,Boffa,
Total new cases registered so far,2014-08-30,Boffa,0
Total cases of suspects,2014-08-30,Boffa,1
Total cases of probables,2014-08-30,Boffa,5
Total cases of confirmed,2014-08-30,Boffa,19
Cumulative (confirmed + probable + suspects),2014-08-30,Boffa,25
Total suspected non-class cases,2014-08-30,Boffa,18
New deaths registered,2014-08-30,Boffa,
Total deaths of suspects,2014-08-30,Boffa,0
Total deaths of probables,2014-08-30,Boffa,5
Total deaths of confirmed,2014-08-30,Boffa,11
Total deaths (confirmed + probables + suspects),2014-08-30,Boffa,16
Fatality rate for confirmed and probables,2014-08-30,Boffa,64%
New cases of confirmed among health workers,2014-08-30,Boffa,0
Total case of confirmed among health workers,2014-08-30,Boffa,0
New deaths registered among health workers,2014-08-30,Boffa,0
Total deaths registered among health workers,2014-08-30,Boffa,0
New admits to CTE so far,2014-08-30,Boffa,0
Total number of hospitalized cases in CTE,2014-08-30,Boffa,0
Total number of exits from CTE,2014-08-30,Boffa,0
Total number of admissions to CTE,2014-08-30,Boffa,0
New contacts registered so far,2014-08-30,Boffa,0
Total contacts registered from start date,2014-08-30,Boffa,397
Number of contacts to follow today,2014-08-30,Boffa,0
Number of contacts followed today,2014-08-30,Boffa,0
Number of contacts out of the track 21 days,2014-08-30,Boffa,46
Number of contacts lost to follow up,2014-08-30,Boffa,0
Number of samples collected today,2014-08-30,Boffa,
Number of samples under test,2014-08-30,Boffa,
Total samples tested,2014-08-30,Boffa,
New cases of suspects,2014-08-30,Conakry,
New cases of probables,2014-08-30,Conakry,
New cases of confirmed,2014-08-30,Conakry,2
Total new cases registered so far,2014-08-30,Conakry,2
Total cases of suspects,2014-08-30,Conakry,9
Total cases of probables,2014-08-30,Conakry,8
Total cases of confirmed,2014-08-30,Conakry,109
Cumulative (confirmed + probable + suspects),2014-08-30,Conakry,126
Total suspected non-class cases,2014-08-30,Conakry,197
New deaths registered,2014-08-30,Conakry,1
Total deaths of suspects,2014-08-30,Conakry,2
Total deaths of probables,2014-08-30,Conakry,8
Total deaths of confirmed,2014-08-30,Conakry,45
Total deaths (confirmed + probables + suspects),2014-08-30,Conakry,55
Fatality rate for confirmed and probables,2014-08-30,Conakry,44%
New cases of confirmed among health workers,2014-08-30,Conakry,0
Total case of confirmed among health workers,2014-08-30,Conakry,24
New deaths registered among health workers,2014-08-30,Conakry,0
Total deaths registered among health workers,2014-08-30,Conakry,11
New admits to CTE so far,2014-08-30,Conakry,5
Total number of hospitalized cases in CTE,2014-08-30,Conakry,27
Total number of exits from CTE,2014-08-30,Conakry,21
Total number of admissions to CTE,2014-08-30,Conakry,347
New contacts registered so far,2014-08-30,Conakry,0
Total contacts registered from start date,2014-08-30,Conakry,1986
Number of contacts to follow today,2014-08-30,Conakry,253
Number of contacts followed today,2014-08-30,Conakry,253
Number of contacts out of the track 21 days,2014-08-30,Conakry,1727
Number of contacts lost to follow up,2014-08-30,Conakry,0
Number of samples collected today,2014-08-30,Conakry,24
Number of samples under test,2014-08-30,Conakry,0
Total samples tested,2014-08-30,Conakry,800
New cases of suspects,2014-08-30,Coyah,
New cases of probables,2014-08-30,Coyah,
New cases of confirmed,2014-08-30,Coyah,
Total new cases registered so far,2014-08-30,Coyah,
Total cases of suspects,2014-08-30,Coyah,
Total cases of probables,2014-08-30,Coyah,
Total cases of confirmed,2014-08-30,Coyah,
Cumulative (confirmed + probable + suspects),2014-08-30,Coyah,
Total suspected non-class cases,2014-08-30,Coyah,
New deaths registered,2014-08-30,Coyah,
Total deaths of suspects,2014-08-30,Coyah,
Total deaths of probables,2014-08-30,Coyah,
Total deaths of confirmed,2014-08-30,Coyah,
Total deaths (confirmed + probables + suspects),2014-08-30,Coyah,
Fatality rate for confirmed and probables,2014-08-30,Coyah,
New cases of confirmed among health workers,2014-08-30,Coyah,
Total case of confirmed among health workers,2014-08-30,Coyah,
New deaths registered among health workers,2014-08-30,Coyah,
Total deaths registered among health workers,2014-08-30,Coyah,
New admits to CTE so far,2014-08-30,Coyah,
Total number of hospitalized cases in CTE,2014-08-30,Coyah,
Total number of exits from CTE,2014-08-30,Coyah,
Total number of admissions to CTE,2014-08-30,Coyah,
New contacts registered so far,2014-08-30,Coyah,
Total contacts registered from start date,2014-08-30,Coyah,
Number of contacts to follow today,2014-08-30,Coyah,
Number of contacts followed today,2014-08-30,Coyah,
Number of contacts out of the track 21 days,2014-08-30,Coyah,
Number of contacts lost to follow up,2014-08-30,Coyah,
Number of samples collected today,2014-08-30,Coyah,
Number of samples under test,2014-08-30,Coyah,
Total samples tested,2014-08-30,Coyah,
New cases of suspects,2014-08-30,Dabola,
New cases of probables,2014-08-30,Dabola,
New cases of confirmed,2014-08-30,Dabola,
Total new cases registered so far,2014-08-30,Dabola,0
Total cases of suspects,2014-08-30,Dabola,0
Total cases of probables,2014-08-30,Dabola,3
Total cases of confirmed,2014-08-30,Dabola,1
Cumulative (confirmed + probable + suspects),2014-08-30,Dabola,4
Total suspected non-class cases,2014-08-30,Dabola,1
New deaths registered,2014-08-30,Dabola,
Total deaths of suspects,2014-08-30,Dabola,0
