,Description,Date,Location,Value
2998,Total number of admissions to CTE,2014-08-27,Macenta,0
2999,New contacts registered so far,2014-08-27,Macenta,24
3000,Total contacts registered from start date,2014-08-27,Macenta,680
3001,Number of contacts to follow today,2014-08-27,Macenta,360
3002,Number of contacts followed today,2014-08-27,Macenta,359
3003,Number of contacts out of the track 21 days,2014-08-27,Macenta,434
3004,Number of contacts lost to follow up,2014-08-27,Macenta,1
3005,Number of samples collected today,2014-08-27,Macenta,0
3006,Number of samples under test,2014-08-27,Macenta,0
3007,Total samples tested,2014-08-27,Macenta,0
3168,New cases of suspects,2014-08-27,Nzerekore,1
3169,New cases of probables,2014-08-27,Nzerekore,0
3170,New cases of confirmed,2014-08-27,Nzerekore,0
3171,Total new cases registered so far,2014-08-27,Nzerekore,1
3172,Total cases of suspects,2014-08-27,Nzerekore,1
3173,Total cases of probables,2014-08-27,Nzerekore,
3174,Total cases of confirmed,2014-08-27,Nzerekore,
3175,Cumulative (confirmed + probable + suspects),2014-08-27,Nzerekore,
3176,Total suspected non-class cases,2014-08-27,Nzerekore,
3177,New deaths registered,2014-08-27,Nzerekore,
3178,Total deaths of suspects,2014-08-27,Nzerekore,
3179,Total deaths of probables,2014-08-27,Nzerekore,
3180,Total deaths of confirmed,2014-08-27,Nzerekore,
3181,Total deaths (confirmed + probables + suspects),2014-08-27,Nzerekore,
3182,Fatality rate for confirmed and probables,2014-08-27,Nzerekore,
3183,New cases of confirmed among health workers,2014-08-27,Nzerekore,
3184,Total case of confirmed among health workers,2014-08-27,Nzerekore,
3185,New deaths registered among health workers,2014-08-27,Nzerekore,
3186,Total deaths registered among health workers,2014-08-27,Nzerekore,
3187,New admits to CTE so far,2014-08-27,Nzerekore,
3188,Total number of hospitalized cases in CTE,2014-08-27,Nzerekore,
3189,Total number of exits from CTE,2014-08-27,Nzerekore,
3190,Total number of admissions to CTE,2014-08-27,Nzerekore,
3191,New contacts registered so far,2014-08-27,Nzerekore,
3192,Total contacts registered from start date,2014-08-27,Nzerekore,
3193,Number of contacts to follow today,2014-08-27,Nzerekore,
3194,Number of contacts followed today,2014-08-27,Nzerekore,
3195,Number of contacts out of the track 21 days,2014-08-27,Nzerekore,
3196,Number of contacts lost to follow up,2014-08-27,Nzerekore,
3197,Number of samples collected today,2014-08-27,Nzerekore,
3198,Number of samples under test,2014-08-27,Nzerekore,
3199,Total samples tested,2014-08-27,Nzerekore,
3360,New cases of suspects,2014-08-27,Pita,0
3361,New cases of probables,2014-08-27,Pita,0
3362,New cases of confirmed,2014-08-27,Pita,0
3363,Total new cases registered so far,2014-08-27,Pita,0
3364,Total cases of suspects,2014-08-27,Pita,0
3365,Total cases of probables,2014-08-27,Pita,
3366,Total cases of confirmed,2014-08-27,Pita,
3367,Cumulative (confirmed + probable + suspects),2014-08-27,Pita,
3368,Total suspected non-class cases,2014-08-27,Pita,
3369,New deaths registered,2014-08-27,Pita,
3370,Total deaths of suspects,2014-08-27,Pita,
3371,Total deaths of probables,2014-08-27,Pita,
3372,Total deaths of confirmed,2014-08-27,Pita,
3373,Total deaths (confirmed + probables + suspects),2014-08-27,Pita,
3374,Fatality rate for confirmed and probables,2014-08-27,Pita,
3375,New cases of confirmed among health workers,2014-08-27,Pita,
3376,Total case of confirmed among health workers,2014-08-27,Pita,
3377,New deaths registered among health workers,2014-08-27,Pita,
3378,Total deaths registered among health workers,2014-08-27,Pita,
3379,New admits to CTE so far,2014-08-27,Pita,
3380,Total number of hospitalized cases in CTE,2014-08-27,Pita,
3381,Total number of exits from CTE,2014-08-27,Pita,
3382,Total number of admissions to CTE,2014-08-27,Pita,
3383,New contacts registered so far,2014-08-27,Pita,
3384,Total contacts registered from start date,2014-08-27,Pita,
3385,Number of contacts to follow today,2014-08-27,Pita,
3386,Number of contacts followed today,2014-08-27,Pita,
3387,Number of contacts out of the track 21 days,2014-08-27,Pita,
3388,Number of contacts lost to follow up,2014-08-27,Pita,
3389,Number of samples collected today,2014-08-27,Pita,
3390,Number of samples under test,2014-08-27,Pita,
3391,Total samples tested,2014-08-27,Pita,
3552,New cases of suspects,2014-08-27,Siguiri,0
3553,New cases of probables,2014-08-27,Siguiri,0
3554,New cases of confirmed,2014-08-27,Siguiri,0
3555,Total new cases registered so far,2014-08-27,Siguiri,0
3556,Total cases of suspects,2014-08-27,Siguiri,0
3557,Total cases of probables,2014-08-27,Siguiri,
3558,Total cases of confirmed,2014-08-27,Siguiri,
3559,Cumulative (confirmed + probable + suspects),2014-08-27,Siguiri,
3560,Total suspected non-class cases,2014-08-27,Siguiri,
3561,New deaths registered,2014-08-27,Siguiri,
3562,Total deaths of suspects,2014-08-27,Siguiri,
3563,Total deaths of probables,2014-08-27,Siguiri,
3564,Total deaths of confirmed,2014-08-27,Siguiri,
3565,Total deaths (confirmed + probables + suspects),2014-08-27,Siguiri,
3566,Fatality rate for confirmed and probables,2014-08-27,Siguiri,
3567,New cases of confirmed among health workers,2014-08-27,Siguiri,
3568,Total case of confirmed among health workers,2014-08-27,Siguiri,
3569,New deaths registered among health workers,2014-08-27,Siguiri,
3570,Total deaths registered among health workers,2014-08-27,Siguiri,
3571,New admits to CTE so far,2014-08-27,Siguiri,
3572,Total number of hospitalized cases in CTE,2014-08-27,Siguiri,
3573,Total number of exits from CTE,2014-08-27,Siguiri,
3574,Total number of admissions to CTE,2014-08-27,Siguiri,
3575,New contacts registered so far,2014-08-27,Siguiri,
3576,Total contacts registered from start date,2014-08-27,Siguiri,
3577,Number of contacts to follow today,2014-08-27,Siguiri,
3578,Number of contacts followed today,2014-08-27,Siguiri,
3579,Number of contacts out of the track 21 days,2014-08-27,Siguiri,
3580,Number of contacts lost to follow up,2014-08-27,Siguiri,
3581,Number of samples collected today,2014-08-27,Siguiri,
3582,Number of samples under test,2014-08-27,Siguiri,
3583,Total samples tested,2014-08-27,Siguiri,
3744,New cases of suspects,2014-08-27,Telimele,0
3745,New cases of probables,2014-08-27,Telimele,0
3746,New cases of confirmed,2014-08-27,Telimele,0
3747,Total new cases registered so far,2014-08-27,Telimele,0
3748,Total cases of suspects,2014-08-27,Telimele,0
3749,Total cases of probables,2014-08-27,Telimele,3
3750,Total cases of confirmed,2014-08-27,Telimele,23
3751,Cumulative (confirmed + probable + suspects),2014-08-27,Telimele,26
3752,Total suspected non-class cases,2014-08-27,Telimele,18
3753,New deaths registered,2014-08-27,Telimele,0
3754,Total deaths of suspects,2014-08-27,Telimele,0
3755,Total deaths of probables,2014-08-27,Telimele,3
3756,Total deaths of confirmed,2014-08-27,Telimele,7
3757,Total deaths (confirmed + probables + suspects),2014-08-27,Telimele,10
3758,Fatality rate for confirmed and probables,2014-08-27,Telimele,38%
3759,New cases of confirmed among health workers,2014-08-27,Telimele,0
3760,Total case of confirmed among health workers,2014-08-27,Telimele,2
3761,New deaths registered among health workers,2014-08-27,Telimele,0
3762,Total deaths registered among health workers,2014-08-27,Telimele,1
3763,New admits to CTE so far,2014-08-27,Telimele,0
3764,Total number of hospitalized cases in CTE,2014-08-27,Telimele,0
3765,Total number of exits from CTE,2014-08-27,Telimele,0
3766,Total number of admissions to CTE,2014-08-27,Telimele,41
3767,New contacts registered so far,2014-08-27,Telimele,0
3768,Total contacts registered from start date,2014-08-27,Telimele,259
3769,Number of contacts to follow today,2014-08-27,Telimele,0
3770,Number of contacts followed today,2014-08-27,Telimele,0
3771,Number of contacts out of the track 21 days,2014-08-27,Telimele,259
3772,Number of contacts lost to follow up,2014-08-27,Telimele,0
3773,Number of samples collected today,2014-08-27,Telimele,
3774,Number of samples under test,2014-08-27,Telimele,
3775,Total samples tested,2014-08-27,Telimele,
3936,New cases of suspects,2014-08-27,Totals,12
3937,New cases of probables,2014-08-27,Totals,0
3938,New cases of confirmed,2014-08-27,Totals,10
3939,Total new cases registered so far,2014-08-27,Totals,22
3940,Total cases of suspects,2014-08-27,Totals,22
3941,Total cases of probables,2014-08-27,Totals,142
3942,Total cases of confirmed,2014-08-27,Totals,499
3943,Cumulative (confirmed + probable + suspects),2014-08-27,Totals,663
3944,Total suspected non-class cases,2014-08-27,Totals,518
3945,New deaths registered,2014-08-27,Totals,2
3946,Total deaths of suspects,2014-08-27,Totals,2
3947,Total deaths of probables,2014-08-27,Totals,142
3948,Total deaths of confirmed,2014-08-27,Totals,294
3949,Total deaths (confirmed + probables + suspects),2014-08-27,Totals,438
3950,Fatality rate for confirmed and probables,2014-08-27,Totals,66%
3951,New cases of confirmed among health workers,2014-08-27,Totals,0
3952,Total case of confirmed among health workers,2014-08-27,Totals,45
3953,New deaths registered among health workers,2014-08-27,Totals,0
3954,Total deaths registered among health workers,2014-08-27,Totals,26
3955,New admits to CTE so far,2014-08-27,Totals,12
3956,Total number of hospitalized cases in CTE,2014-08-27,Totals,80
3957,Total number of exits from CTE,2014-08-27,Totals,14
3958,Total number of admissions to CTE,2014-08-27,Totals,999
3959,New contacts registered so far,2014-08-27,Totals,127
3960,Total contacts registered from start date,2014-08-27,Totals,7662
3961,Number of contacts to follow today,2014-08-27,Totals,1264
3962,Number of contacts followed today,2014-08-27,Totals,1250
3963,Number of contacts out of the track 21 days,2014-08-27,Totals,6496
3964,Number of contacts lost to follow up,2014-08-27,Totals,14
3965,Number of samples collected today,2014-08-27,Totals,58
3966,Number of samples under test,2014-08-27,Totals,0
3967,Total samples tested,2014-08-27,Totals,1719
4128,New cases of suspects,2014-08-27,Yomou,1
4129,New cases of probables,2014-08-27,Yomou,0
4130,New cases of confirmed,2014-08-27,Yomou,0
4131,Total new cases registered so far,2014-08-27,Yomou,1
4132,Total cases of suspects,2014-08-27,Yomou,1
4133,Total cases of probables,2014-08-27,Yomou,
4134,Total cases of confirmed,2014-08-27,Yomou,
4135,Cumulative (confirmed + probable + suspects),2014-08-27,Yomou,
4136,Total suspected non-class cases,2014-08-27,Yomou,
4137,New deaths registered,2014-08-27,Yomou,
4138,Total deaths of suspects,2014-08-27,Yomou,
4139,Total deaths of probables,2014-08-27,Yomou,
4140,Total deaths of confirmed,2014-08-27,Yomou,
4141,Total deaths (confirmed + probables + suspects),2014-08-27,Yomou,
4142,Fatality rate for confirmed and probables,2014-08-27,Yomou,
4143,New cases of confirmed among health workers,2014-08-27,Yomou,
4144,Total case of confirmed among health workers,2014-08-27,Yomou,
4145,New deaths registered among health workers,2014-08-27,Yomou,
4146,Total deaths registered among health workers,2014-08-27,Yomou,
4147,New admits to CTE so far,2014-08-27,Yomou,
4148,Total number of hospitalized cases in CTE,2014-08-27,Yomou,
4149,Total number of exits from CTE,2014-08-27,Yomou,
4150,Total number of admissions to CTE,2014-08-27,Yomou,
4151,New contacts registered so far,2014-08-27,Yomou,
4152,Total contacts registered from start date,2014-08-27,Yomou,
4153,Number of contacts to follow today,2014-08-27,Yomou,
4154,Number of contacts followed today,2014-08-27,Yomou,
4155,Number of contacts out of the track 21 days,2014-08-27,Yomou,
4156,Number of contacts lost to follow up,2014-08-27,Yomou,
4157,Number of samples collected today,2014-08-27,Yomou,
4158,Number of samples under test,2014-08-27,Yomou,
4159,Total samples tested,2014-08-27,Yomou,
128,New cases of suspects,2014-08-30,Beyla,
129,New cases of probables,2014-08-30,Beyla,
130,New cases of confirmed,2014-08-30,Beyla,
131,Total new cases registered so far,2014-08-30,Beyla,
132,Total cases of suspects,2014-08-30,Beyla,
133,Total cases of probables,2014-08-30,Beyla,
134,Total cases of confirmed,2014-08-30,Beyla,
135,Cumulative (confirmed + probable + suspects),2014-08-30,Beyla,
136,Total suspected non-class cases,2014-08-30,Beyla,
137,New deaths registered,2014-08-30,Beyla,
138,Total deaths of suspects,2014-08-30,Beyla,
139,Total deaths of probables,2014-08-30,Beyla,
140,Total deaths of confirmed,2014-08-30,Beyla,
141,Total deaths (confirmed + probables + suspects),2014-08-30,Beyla,
142,Fatality rate for confirmed and probables,2014-08-30,Beyla,
143,New cases of confirmed among health workers,2014-08-30,Beyla,
144,Total case of confirmed among health workers,2014-08-30,Beyla,
145,New deaths registered among health workers,2014-08-30,Beyla,
146,Total deaths registered among health workers,2014-08-30,Beyla,
147,New admits to CTE so far,2014-08-30,Beyla,
148,Total number of hospitalized cases in CTE,2014-08-30,Beyla,
149,Total number of exits from CTE,2014-08-30,Beyla,
150,Total number of admissions to CTE,2014-08-30,Beyla,
151,New contacts registered so far,2014-08-30,Beyla,
152,Total contacts registered from start date,2014-08-30,Beyla,
153,Number of contacts to follow today,2014-08-30,Beyla,
154,Number of contacts followed today,2014-08-30,Beyla,
155,Number of contacts out of the track 21 days,2014-08-30,Beyla,
156,Number of contacts lost to follow up,2014-08-30,Beyla,
157,Number of samples collected today,2014-08-30,Beyla,
158,Number of samples under test,2014-08-30,Beyla,
159,Total samples tested,2014-08-30,Beyla,
320,New cases of suspects,2014-08-30,Boffa,
321,New cases of probables,2014-08-30,Boffa,
322,New cases of confirmed,2014-08-30,Boffa,
323,Total new cases registered so far,2014-08-30,Boffa,0
324,Total cases of suspects,2014-08-30,Boffa,1
325,Total cases of probables,2014-08-30,Boffa,5
326,Total cases of confirmed,2014-08-30,Boffa,19
327,Cumulative (confirmed + probable + suspects),2014-08-30,Boffa,25
328,Total suspected non-class cases,2014-08-30,Boffa,18
329,New deaths registered,2014-08-30,Boffa,
330,Total deaths of suspects,2014-08-30,Boffa,0
331,Total deaths of probables,2014-08-30,Boffa,5
332,Total deaths of confirmed,2014-08-30,Boffa,11
333,Total deaths (confirmed + probables + suspects),2014-08-30,Boffa,16
334,Fatality rate for confirmed and probables,2014-08-30,Boffa,64%
335,New cases of confirmed among health workers,2014-08-30,Boffa,0
336,Total case of confirmed among health workers,2014-08-30,Boffa,0
337,New deaths registered among health workers,2014-08-30,Boffa,0
338,Total deaths registered among health workers,2014-08-30,Boffa,0
339,New admits to CTE so far,2014-08-30,Boffa,0
340,Total number of hospitalized cases in CTE,2014-08-30,Boffa,0
341,Total number of exits from CTE,2014-08-30,Boffa,0
342,Total number of admissions to CTE,2014-08-30,Boffa,0
343,New contacts registered so far,2014-08-30,Boffa,0
344,Total contacts registered from start date,2014-08-30,Boffa,397
345,Number of contacts to follow today,2014-08-30,Boffa,0
346,Number of contacts followed today,2014-08-30,Boffa,0
347,Number of contacts out of the track 21 days,2014-08-30,Boffa,46
348,Number of contacts lost to follow up,2014-08-30,Boffa,0
349,Number of samples collected today,2014-08-30,Boffa,
350,Number of samples under test,2014-08-30,Boffa,
351,Total samples tested,2014-08-30,Boffa,
512,New cases of suspects,2014-08-30,Conakry,
513,New cases of probables,2014-08-30,Conakry,
514,New cases of confirmed,2014-08-30,Conakry,2
515,Total new cases registered so far,2014-08-30,Conakry,2
516,Total cases of suspects,2014-08-30,Conakry,9
517,Total cases of probables,2014-08-30,Conakry,8
