Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
New case/s (confirmed),9/13/2014,0,,0,0,6,,0,0,7,0,0,0,0,0,0,0,1
Total suspected cases,9/13/2014,7,,3,21,107,,218,1,654,27,2,6,53,3,6,0,200
Total probable cases,9/13/2014,43,,0,12,47,,413,0,1212,75,0,3,394,9,5,0,211
Total confirmed cases,9/13/2014,33,,0,13,50,,352,0,797,47,1,0,260,0,6,1,34
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/13/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/13/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/14/2014,0,,0,0,0,,0,0,8,0,0,0,6,0,2,0,0
Specimens pending for testing,9/14/2014,0,,0,0,0,,0,0,8,0,0,0,6,0,2,0,0
Total specimens tested,9/14/2014,0,,0,0,0,,0,0,4,0,0,0,4,0,0,0,0
Newly reported deaths,9/14/2014,0,,0,0,5,,22,0,37,0,0,0,1,0,0,0,9
Total death/s in confirmed cases,9/14/2014,27,,0,13,12,,328,0,626,32,1,0,171,0,6,0,36
Total death/s in probable cases,9/14/2014,26,,0,3,14,,154,0,517,48,0,0,168,4,3,1,96
Total death/s in suspected cases,9/14/2014,0,,2,3,35,,148,0,307,12,0,5,36,0,5,0,61
"Total death/s in confirmed, probable, suspected cases",9/14/2014,53,,2,19,61,,630,0,1450,92,1,5,375,4,14,1,193
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/14/2014,70,,0,46,27,,63,0,56.1,66,100,0,51,100,82,100,52
Newly reported contacts,9/14/2014,0,,0,0,0,,181,0,210,0,0,0,0,0,0,0,29
Total contacts listed,9/14/2014,410,,0,61,620,,4841,0,8406,544,16,17,432,6,80,6,1373
Currently under follow-up,9/14/2014,104,,0,61,200,,2180,0,4199,361,0,3,291,6,77,4,912
Contacts seen,9/14/2014,0,,0,0,200,,2155,0,3641,0,0,0,291,6,77,0,912
Contacts who completed 21 day follow-up,9/14/2014,0,,0,0,0,,12,0,20,0,0,0,8,0,0,0,0
Contacts lost to follow-up,9/14/2014,0,,0,0,0,,1,0,1,0,0,0,0,0,0,0,0
New admissions,9/14/2014,0,,0,0,0,,28,0,31,0,0,0,3,0,0,0,0
Total no. currently in Treatment Units,9/14/2014,0,,0,0,0,,224,0,246,0,0,0,22,0,0,0,0
Total discharges,9/14/2014,0,,0,0,0,,9,0,11,0,0,0,2,0,0,0,0
Cumulative admission/isolation,9/14/2014,0,,0,0,0,,224,0,246,0,0,0,22,0,0,0,0
Newly Reported Cases in HCW,9/14/2014,0,,0,0,0,,1,0,1,0,0,0,0,0,0,0,0
Cumulative cases among HCW,9/14/2014,5,,0,3,26,,71,0,170,6,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/14/2014,0,,0,0,0,,1,0,1,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/14/2014,5,,0,1,6,,33,0,83,2,0,0,17,0,0,0,19
New Case/s (Suspected),9/14/2014,0,,0,0,4,,18,0,24,0,0,0,0,0,0,0,2
New Case/s (Probable),9/14/2014,0,,0,0,1,,5,0,19,0,0,0,3,0,0,0,10
New case/s (confirmed),9/14/2014,0,,0,0,0,,0,0,4,0,0,0,4,0,0,0,0
Total suspected cases,9/14/2014,7,,3,19,111,,236,1,675,27,2,6,53,2,6,0,202
Total probable cases,9/14/2014,43,,0,17,48,,418,0,1231,75,0,3,397,4,5,0,221
Total confirmed cases,9/14/2014,33,,0,18,50,,352,0,806,47,1,0,264,0,6,1,34
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/14/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/14/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/15/2014,5,,0,0,0,,0,0,12,1,,0,6,0,0,0,0
Specimens pending for testing,9/15/2014,5,,0,0,0,,0,0,12,1,,0,6,0,0,0,0
Total specimens tested,9/15/2014,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Newly reported deaths,9/15/2014,2,,0,0,4,,15,0,30,2,0,0,3,0,0,0,4
Total death/s in confirmed cases,9/15/2014,27,,0,13,12,,330,0,629,32,1,0,172,0,6,0,36
Total death/s in probable cases,9/15/2014,28,,0,3,14,,154,0,526,51,0,0,170,4,3,1,98
Total death/s in suspected cases,9/15/2014,0,,2,3,39,,161,0,326,12,0,5,36,0,5,0,63
"Total death/s in confirmed, probable, suspected cases",9/15/2014,55,,2,19,65,,645,0,1481,95,1,5,378,4,14,1,197
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/15/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/15/2014,0,,0,0,51,,322,0,400,0,0,0,0,0,0,0,27
Total contacts listed,9/15/2014,410,,0,61,671,,5494,0,9274,544,16,17,432,6,80,6,1537
Currently under follow-up,9/15/2014,104,,0,61,187,,2265,0,4885,350,0,3,291,6,77,4,1537
Contacts seen,9/15/2014,156,,0,0,187,,2205,0,4711,350,0,0,276,0,0,0,1537
Contacts who completed 21 day follow-up,9/15/2014,0,,0,0,16,,124,0,151,11,0,0,0,0,0,0,0
Contacts lost to follow-up,9/15/2014,0,,0,0,0,,2,0,2,0,0,0,0,0,0,0,0
New admissions,9/15/2014,0,,0,0,2,,18,0,21,0,0,0,1,0,0,0,0
Total no. currently in Treatment Units,9/15/2014,0,,0,0,2,,218,0,241,0,0,0,21,0,0,0,0
Total discharges,9/15/2014,0,,0,0,0,,8,0,9,0,0,0,1,0,0,0,0
Cumulative admission/isolation,9/15/2014,0,,0,0,2,,224,0,248,0,0,0,22,0,0,0,0
Newly Reported Cases in HCW,9/15/2014,0,,0,0,0,,3,0,4,1,0,0,0,0,0,0,0
Cumulative cases among HCW,9/15/2014,5,,0,3,26,,71,0,170,7,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/15/2014,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/15/2014,5,,0,1,6,,33,0,83,2,0,0,17,0,0,0,19
New Case/s (Suspected),9/15/2014,0,,0,0,7,,33,0,44,0,0,0,0,0,0,0,4
New Case/s (Probable),9/15/2014,1,,0,0,3,,20,0,54,24,0,0,1,0,0,0,5
New case/s (confirmed),9/15/2014,0,,0,0,3,,0,0,15,10,0,0,2,0,0,0,0
Total suspected cases,9/15/2014,7,,3,19,118,,269,1,713,25,2,6,53,2,6,0,202
Total probable cases,9/15/2014,44,,0,17,51,,438,0,1268,87,0,3,398,4,5,0,221
Total confirmed cases,9/15/2014,33,,0,18,53,,352,0,823,59,1,0,266,0,6,1,34
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/15/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/15/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/16/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/16/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/16/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/16/2014,0,,0,0,2,,35,0,54,6,0,1,5,1,0,0,4
Total death/s in confirmed cases,9/16/2014,27,,0,13,12,,353,0,659,35,1,0,176,0,6,0,36
Total death/s in probable cases,9/16/2014,28,,0,3,15,,156,0,535,54,0,0,171,5,3,1,99
Total death/s in suspected cases,9/16/2014,0,,2,3,40,,172,0,345,12,0,6,36,3,5,0,66
"Total death/s in confirmed, probable, suspected cases",9/16/2014,55,,2,19,67,,681,0,1539,101,1,6,383,8,14,1,201
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/16/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/16/2014,131,,0,2,11,,295,0,491,0,6,2,10,0,0,0,34
Total contacts listed,9/16/2014,343,,0,153,682,,5789,0,9663,544,22,19,442,6,80,6,1577
Currently under follow-up,9/16/2014,270,,0,153,222,,2271,0,5204,307,22,4,291,6,77,4,1577
Contacts seen,9/16/2014,268,,0,73,222,,2245,0,4972,307,0,4,276,0,0,0,1577
Contacts who completed 21 day follow-up,9/16/2014,73,,0,0,0,,45,0,178,43,0,0,17,0,0,0,0
Contacts lost to follow-up,9/16/2014,2,,0,0,0,,4,0,7,0,0,1,0,0,0,0,0
New admissions,9/16/2014,0,,0,0,1,,44,0,52,0,0,0,7,0,0,0,0
Total no. currently in Treatment Units,9/16/2014,0,,0,0,3,,252,0,276,0,0,0,21,0,0,0,0
Total discharges,9/16/2014,0,,0,0,0,,17,0,17,0,0,0,0,0,0,0,0
Cumulative admission/isolation,9/16/2014,0,,0,0,3,,252,0,276,0,0,0,21,0,0,0,0
Newly Reported Cases in HCW,9/16/2014,,,,,,,,,,,,,,,,,
Cumulative cases among HCW,9/16/2014,,,,,,,,,,,,,,,,,
Newly Reported deaths in HCW,9/16/2014,,,,,,,,,,,,,,,,,
Cumulative deaths among HCW,9/16/2014,,,,,,,,,,,,,,,,,
New Case/s (Suspected),9/16/2014,0,,0,8,1,,26,0,53,4,3,3,0,1,0,0,7
New Case/s (Probable),9/16/2014,1,,0,13,1,,16,0,42,0,0,0,7,1,0,0,3
New case/s (confirmed),9/16/2014,0,,0,2,0,,0,0,4,0,0,0,2,0,0,0,0
Total suspected cases,9/16/2014,7,,3,27,119,,295,1,766,29,5,9,53,3,6,0,209
Total probable cases,9/16/2014,45,,0,30,52,,454,0,1310,87,0,3,405,5,5,0,224
Total confirmed cases,9/16/2014,33,,0,40,53,,352,0,847,59,1,0,268,0,6,1,34
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/16/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/16/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/17/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/17/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/17/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/17/2014,1,,0,3,4,2,23,0,39,0,0,0,5,0,0,0,1
Total death/s in confirmed cases,9/17/2014,27,,0,14,12,1,354,0,667,35,1,0,178,3,6,0,36
Total death/s in probable cases,9/17/2014,29,,0,4,15,1,157,0,539,54,0,0,174,2,3,1,99
Total death/s in suspected cases,9/17/2014,0,,2,3,44,0,183,0,361,12,0,6,36,3,5,0,67
"Total death/s in confirmed, probable, suspected cases",9/17/2014,56,,2,21,71,2,694,0,1567,101,1,6,388,8,14,1,202
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/17/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/17/2014,7,,0,24,0,13,289,0,362,0,0,0,3,0,0,0,26
Total contacts listed,9/17/2014,350,,0,172,682,13,6078,0,10018,544,22,19,445,6,80,6,1601
Currently under follow-up,9/17/2014,277,,0,81,226,13,2588,0,5489,307,22,4,291,6,77,4,1593
Contacts seen,9/17/2014,274,,0,81,226,0,2531,0,5273,307,0,4,257,0,0,0,1593
Contacts who completed 21 day follow-up,9/17/2014,0,,0,0,7,0,92,0,157,43,0,0,15,0,0,0,0
Contacts lost to follow-up,9/17/2014,0,,0,0,0,0,3,0,8,0,0,1,0,0,0,0,4
New admissions,9/17/2014,0,,0,0,0,0,42,0,49,0,0,0,7,0,0,0,0
Total no. currently in Treatment Units,9/17/2014,0,,0,0,2,0,247,0,274,0,0,0,25,0,0,0,0
Total discharges,9/17/2014,0,,0,0,0,0,22,0,24,0,0,0,2,0,0,0,0
Cumulative admission/isolation,9/17/2014,0,,0,0,2,0,247,0,274,0,0,0,25,0,0,0,0
Newly Reported Cases in HCW,9/17/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,9/17/2014,5,,0,3,26,0,71,0,171,7,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/17/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/17/2014,5,,0,1,6,0,33,0,83,2,0,0,17,0,0,0,19
New Case/s (Suspected),9/17/2014,0,,0,1,4,0,38,0,51,0,0,0,0,0,0,0,8
New Case/s (Probable),9/17/2014,0,,0,1,1,1,15,0,31,0,0,0,7,0,0,0,6
New case/s (confirmed),9/17/2014,0,,0,2,0,1,0,0,11,0,0,0,7,0,0,0,1
Total suspected cases,9/17/2014,7,,3,28,123,0,333,1,817,29,5,9,53,3,6,0,217
Total probable cases,9/17/2014,45,,0,31,53,2,469,0,1339,87,0,3,412,2,5,0,230
Total confirmed cases,9/17/2014,33,,0,42,53,1,352,0,861,59,1,0,275,3,6,1,35
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/17/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/17/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/20/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/20/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/20/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/20/2014,,,,,,,,,,,,,,,,,
Total death/s in confirmed cases,9/20/2014,,,,,,,,,,,,,,,,,
Total death/s in probable cases,9/20/2014,,,,,,,,,,,,,,,,,
Total death/s in suspected cases,9/20/2014,,,,,,,,,,,,,,,,,
"Total death/s in confirmed, probable, suspected cases",9/20/2014,,,,,,,,,,,,,,,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/20/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/20/2014,,,,,,,,,,,,,,,,,
Total contacts listed,9/20/2014,,,,,,,,,,,,,,,,,
Currently under follow-up,9/20/2014,,,,,,,,,,,,,,,,,
Contacts seen,9/20/2014,,,,,,,,,,,,,,,,,
Contacts who completed 21 day follow-up,9/20/2014,,,,,,,,,,,,,,,,,
Contacts lost to follow-up,9/20/2014,,,,,,,,,,,,,,,,,
New admissions,9/20/2014,,,,,,,,,,,,,,,,,
Total no. currently in Treatment Units,9/20/2014,,,,,,,,,,,,,,,,,
Total discharges,9/20/2014,,,,,,,,,,,,,,,,,
Cumulative admission/isolation,9/20/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,9/20/2014,0,,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2
Cumulative cases among HCW,9/20/2014,6,,0,3,26,0,72,0,179,7,0,0,21,0,3,0,41
Newly Reported deaths in HCW,9/20/2014,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/20/2014,5,,0,1,7,0,33,0,85,2,0,0,17,0,0,0,20
New Case/s (Suspected),9/20/2014,0,,0,0,6,0,0,0,10,0,0,0,0,0,0,0,4
New Case/s (Probable),9/20/2014,0,,0,2,4,0,0,0,26,14,0,0,4,0,0,0,2
New case/s (confirmed),9/20/2014,0,,0,0,0,0,0,0,5,0,3,0,0,0,0,0,2
Total suspected cases,9/20/2014,7,,3,28,129,0,333,1,832,31,5,9,53,3,6,3,221
Total probable cases,9/20/2014,45,,0,33,57,0,469,0,1376,108,0,3,416,5,5,3,232
Total confirmed cases,9/20/2014,33,,0,42,53,0,352,0,866,60,4,0,275,0,6,4,37
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/20/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/20/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/21/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/21/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/21/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/21/2014,0,,0,0,8,0,17,0,33,3,0,0,3,0,0,0,2
Total death/s in confirmed cases,9/21/2014,27,,0,16,12,3,397,0,726,43,2,0,179,0,6,3,38
Total death/s in probable cases,9/21/2014,30,,0,6,20,2,167,0,594,61,0,0,188,5,3,3,109
Total death/s in suspected cases,9/21/2014,0,,2,5,52,0,194,0,389,13,0,6,38,3,5,2,69
"Total death/s in confirmed, probable, suspected cases",9/21/2014,57,,2,27,84,5,758,0,1709,117,2,6,405,8,14,8,216
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/21/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/21/2014,0,,0,0,0,0,104,0,148,0,0,0,0,0,0,0,44
Total contacts listed,9/21/2014,357,,0,221,744,0,6784,0,11332,651,58,19,591,6,80,75,1746
Currently under follow-up,9/21/2014,277,,0,144,256,11,2860,0,6116,351,58,4,298,6,77,28,1746
Contacts seen,9/21/2014,0,,0,0,256,0,2720,0,5371,351,0,0,298,0,0,0,1746
Contacts who completed 21 day follow-up,9/21/2014,0,,0,0,9,0,41,0,124,0,0,0,0,0,0,0,74
Contacts lost to follow-up,9/21/2014,0,,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
New admissions,9/21/2014,0,,0,0,1,0,43,0,44,0,0,0,0,0,0,0,0
Total no. currently in Treatment Units,9/21/2014,0,,0,0,5,0,184,0,219,0,0,0,30,0,0,0,0
Total discharges,9/21/2014,0,,0,0,2,0,18,0,20,0,0,0,0,0,0,0,0
Cumulative admission/isolation,9/21/2014,0,,0,0,8,0,184,0,222,0,0,0,30,0,0,0,0
Newly Reported Cases in HCW,9/21/2014,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cumulative cases among HCW,9/21/2014,6,,0,3,26,0,72,0,180,7,0,0,21,0,3,0,42
Newly Reported deaths in HCW,9/21/2014,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/21/2014,5,,0,1,7,0,33,0,85,2,0,0,17,0,0,0,20
New Case/s (Suspected),9/21/2014,0,,0,0,7,0,8,0,19,0,0,0,0,0,0,0,4
New Case/s (Probable),9/21/2014,0,,0,0,0,0,9,0,30,4,0,0,0,0,0,0,17
New case/s (confirmed),9/21/2014,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Total suspected cases,9/21/2014,7,,3,29,156,0,383,1,920,31,5,9,53,3,6,3,231
Total probable cases,9/21/2014,45,,0,34,64,0,497,0,1468,115,0,3,429,5,5,3,268
Total confirmed cases,9/21/2014,33,,0,43,53,0,352,0,884,77,4,0,275,0,6,4,37
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/21/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/21/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,09/23/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,09/23/2014,,,,,,,,,,,,,,,,,
Total specimens tested,09/23/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,09/23/2014,2,,0,0,8,1,31,0,51,2,0,0,4,0,0,0,3
Total death/s in confirmed cases,09/23/2014,27,,0,17,12,4,446,0,786,49,2,0,181,0,6,3,39
Total death/s in probable cases,09/23/2014,32,,0,7,21,3,174,0,621,64,0,0,195,5,3,3,114
Total death/s in suspected cases,09/23/2014,1,,2,6,60,1,204,0,412,13,0,6,38,3,5,2,71
"Total death/s in confirmed, probable, suspected cases",09/23/2014,60,,2,30,93,8,824,0,1819,126,2,6,414,8,14,8,224
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,09/23/2014,0,,0,0,4,0,197,0,282,0,0,0,34,0,0,0,47
Total contacts listed,09/23/2014,357,,0,251,748,24,7194,0,11911,651,58,19,626,6,80,91,1806
Currently under follow-up,09/23/2014,277,,0,148,159,24,2936,0,6175,351,58,4,295,6,77,44,1796
Contacts seen,09/23/2014,274,,0,148,159,0,2864,0,4135,351,0,0,295,0,0,44,0
Contacts who completed 21 day follow-up,09/23/2014,0,,0,0,65,0,109,0,229,0,0,0,11,0,0,44,0
Contacts lost to follow-up,09/23/2014,0,,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0
New admissions,09/23/2014,0,,0,0,2,0,0,0,6,0,0,0,4,0,0,0,0
Total no. currently in Treatment Units,09/23/2014,0,,0,0,14,0,394,0,432,0,0,0,24,0,0,0,0
Total discharges,09/23/2014,0,,0,0,2,0,8,0,14,0,0,0,4,0,0,0,0
Cumulative admission/isolation,09/23/2014,0,,0,0,18,0,394,0,436,0,0,0,24,0,0,0,0
Newly Reported Cases in HCW,09/23/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,09/23/2014,6,,0,3,26,0,73,0,182,8,0,0,21,0,3,0,42
Newly Reported deaths in HCW,09/23/2014,0,,0,0,,0,0,0,2,2,0,0,0,0,0,0,0
Cumulative deaths among HCW,09/23/2014,5,,0,1,7,0,33,0,89,6,0,0,17,0,0,0,20
New Case/s (Suspected),09/23/2014,0,,0,0,10,1,22,0,48,0,0,0,0,0,0,0,15
New Case/s (Probable),09/23/2014,0,,0,0,2,0,16,0,24,1,0,0,4,0,0,0,1
New case/s (confirmed),09/23/2014,0,,0,1,13,0,0,0,16,0,0,0,2,0,0,0,0
Total suspected cases,09/23/2014,7,,3,29,167,3,430,1,1005,31,5,9,57,3,6,3,251
Total probable cases,09/23/2014,45,,0,37,67,6,538,0,1537,116,0,3,435,5,5,3,277
Total confirmed cases,09/23/2014,33,,0,44,66,6,352,0,908,77,4,0,277,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,09/25/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,09/25/2014,,,,,,,,,,,,,,,,,
Total specimens tested,09/25/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,09/25/2014,2,,0,3,2,1,27,0,42,3,0,0,2,0,0,0,2
Total death/s in confirmed cases,09/25/2014,28,,0,17,14,5,492,0,843,49,2,0,187,0,6,3,40
Total death/s in probable cases,09/25/2014,33,,0,9,21,3,181,0,643,70,0,0,197,5,3,3,118
Total death/s in suspected cases,09/25/2014,3,,2,7,66,1,206,0,425,14,0,6,38,3,5,2,72
"Total death/s in confirmed, probable, suspected cases",09/25/2014,64,,2,33,101,9,879,0,1911,133,2,6,422,8,14,8,230
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/25/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,09/25/2014,0,,0,10,7,7,102,0,351,189,0,0,10,0,0,0,26
Total contacts listed,09/25/2014,549,,20,263,757,38,7401,0,12638,840,58,19,654,6,80,91,1862
Currently under follow-up,09/25/2014,441,,20,161,163,7,3153,0,6664,471,58,4,307,6,77,44,1752
Contacts seen,09/25/2014,440,,0,161,163,0,3103,0,6397,471,0,0,307,0,0,0,1752
Contacts who completed 21 day follow-up,09/25/2014,1,,0,24,0,0,76,0,140,39,0,0,0,0,0,0,0
Contacts lost to follow-up,09/25/2014,2,,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0
New admissions,09/25/2014,0,,0,0,3,0,46,0,50,0,0,0,1,0,0,0,0
Total no. currently in Treatment Units,09/25/2014,0,,0,0,15,0,404,0,437,0,0,0,18,0,0,0,0
Total discharges,09/25/2014,0,,0,0,4,0,30,0,35,0,0,0,1,0,0,0,0
Cumulative admission/isolation,09/25/2014,0,,0,0,26,0,404,0,448,0,0,0,18,0,0,0,0
Newly Reported Cases in HCW,09/25/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,09/25/2014,6,,0,3,26,0,74,0,183,8,0,0,21,0,3,0,42
Newly Reported deaths in HCW,09/25/2014,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,09/25/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),09/25/2014,0,,0,0,3,0,9,0,17,2,0,0,0,0,0,0,3
New Case/s (Probable),09/25/2014,0,,0,2,0,1,7,0,37,17,0,0,1,0,0,0,9
New case/s (confirmed),09/25/2014,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Total suspected cases,09/25/2014,7,,3,31,178,3,452,1,1057,33,5,11,57,3,6,3,264
Total probable cases,09/25/2014,45,,0,40,67,7,556,0,1584,133,0,4,436,5,5,3,283
Total confirmed cases,09/25/2014,33,,0,45,66,6,352,0,915,77,4,2,281,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/25/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,09/25/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,09/26/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,09/26/2014,,,,,,,,,,,,,,,,,
Total specimens tested,09/26/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,09/26/2014,2,,0,0,4,1,45,0,64,0,0,0,4,0,0,0,8
Total death/s in confirmed cases,09/26/2014,29,,0,17,14,5,528,0,882,49,2,0,189,0,6,3,40
Total death/s in probable cases,09/26/2014,33,,0,9,21,4,186,0,656,70,0,0,199,5,3,3,123
Total death/s in suspected cases,09/26/2014,4,,2,7,70,1,210,0,437,14,0,6,38,3,5,2,75
"Total death/s in confirmed, probable, suspected cases",09/26/2014,66,,2,33,105,10,924,0,1975,133,2,6,426,8,14,8,238
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,09/26/2014,0,,0,0,10,0,137,0,283,0,0,0,10,0,0,0,126
Total contacts listed,09/26/2014,549,,20,263,767,38,7538,0,12921,840,58,19,664,6,80,91,1988
Currently under follow-up,09/26/2014,441,,20,161,170,7,3214,0,6774,471,58,4,317,6,77,44,1784
Contacts seen,09/26/2014,440,,0,161,170,0,3082,0,6425,471,0,0,317,0,0,0,1784
Contacts who completed 21 day follow-up,09/26/2014,101,,0,0,0,0,169,0,287,17,0,0,0,0,0,0,0
Contacts lost to follow-up,09/26/2014,2,,0,0,0,0,3,0,19,0,0,0,0,0,0,0,14
New admissions,09/26/2014,0,,0,0,5,0,23,0,31,0,0,0,3,0,0,0,0
Total no. currently in Treatment Units,09/26/2014,0,,0,0,20,0,398,0,433,0,0,0,15,0,0,0,0
Total discharges,09/26/2014,0,,0,0,4,0,14,0,20,0,0,0,2,0,0,0,0
Cumulative admission/isolation,09/26/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,09/26/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,09/26/2014,6,,0,3,26,0,74,0,183,8,0,0,21,0,3,0,42
Newly Reported deaths in HCW,09/26/2014,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,09/26/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),09/26/2014,0,,0,0,4,0,14,0,27,0,0,0,0,0,0,0,9
New Case/s (Probable),09/26/2014,0,,0,1,1,0,20,0,42,0,0,0,3,0,0,0,17
New case/s (confirmed),09/26/2014,0,,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Total suspected cases,09/26/2014,7,,3,31,182,3,466,1,1084,33,5,11,57,3,6,3,273
